year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
2006,48,Jutta Koether,1958,cologne,germany,new york,new york,,
2006,48,Steven Parrino,1958,new york,new york,new york,new york,,
2006,32,Deva Graf,1974,lafayette,indiana,arizona,arizona,,
2006,38,Mark Grotjahn,1968,pasadena,california,los angeles,california,,
2006,32,Kenya Evans,1974,sumter,south carolina,houston ,texas,,
2006,33,Florian Maier-Aichen,1973,stuttgart,germany,cologne,germany,los angeles,california
2006,41,Adam McEwen,1965,london,england,new york,new york,,
2006,26,Jordan Wolfson,1980,new york,new york,new york,new york,berlin,germany
2006,37,Angela Strassheim,1969,bloomfield,iowa,minneapolis,minnesota,new york,new york
2006,25,Dash Snow,1981,new york,new york,new york,new york,,
2006,39,Todd Norsten,1967,sunburg,minnesota,minneapolis,minnesota,,
2006,50,Rudolf Stingel,1956,merano,italy,new york ,new york,,
2014,37,Uri Aran,1977,Jerusalem,Israel,New York,NY,,
2014,44,Alma Allen,1970,Heber City,UT,Joshua Tree,CA,,
2006,57,Rodney Graham,1949,vancouver,canada,vancouver,canada,,
2006,31,Robert Pruitt,1975,houston,texas,houston,texas,,
2006,31,JP Munro,1975,inglewood,california,los angeles,california,,
2006,33,Gedi Sibony,1973,new york,new york,brooklyn,new york,,
2006,32,Trisha Donnelly,1974,san francisco,california,san francisco,california,,
2006,42,Josephine Meckseper,1964,lilienthal,germany,new york,new york,,
2014,43,Matt Hanner,1971,Columbus,OH,Porter,IN,,
2006,82,Taylor Mead,1924,grosse point,michigan,new york,new york,,
2006,30,Hanna Liden,1976,stockholm,sweden,new york,new york,,
2006,74,Dorothy Iannone,1932,boston,massachusetts,berlin,germany,,
2006,37,Cameron Jamie,1969,los angeles,california,paris,france,,
2006,67,Richard Serra,1939,san francisco,california,new york,new york,,
2006,46,Jeanne Liotta,1960,new york,new york,new york,new york,,
2006,52,Doug Henry,1954,las vegas,nevada,los angeles,california,,
2006,41,Mathias Poledna,1965,vienna,austria,los angeles,california,,
2006,30,Andrew Lampert,1976,st. louis,missouri,brooklyn,new york,,
2006,35,Francesco Vezzoli,1971,brescia,italy,milan,italy,,
2006,50,Lewis Klahr,1956,new york,new york,los angeles,california,,
2006,35,Jennifer Reeves,1971,colombo,sri lanka,new york,new york,,
2006,34,Marie Losier,1972,boulogne,france,new york,new york,,
2006,35,David Gatten,1971,ann arbor,michigan,ithaca,new york,brooklyn,new york
2006,77,Michael Snow,1929,toronto,canada,toronto,canada,,
2006,66,Jimmie Durham,1940,united states,united states,berlin,germany,,
2006,53,Joe Gibbons,1953,providence,rhode island,malden ,ma,,
2006,37,Jim O'Rourke,1969,chicago,illinois,new york,new york,,
2006,44,Pierre Huyghe,1962,paris,france,new york,new york,,
2006,25,Ryan Trecartin,1981,webster,texas,new orleans,louisiana,,
2006,58,Marilyn Minter,1948,shreveport,louisiana,new york,new york,,
2006,31,Jay Heikes,1975,princeton,new jersey,brooklyn,new york,minneapolis,minnesota
2006,39,Lisa Lapinski,1967,palo alto,california,los angeles,california,,
2006,27,Hannah Greely,1979,los angeles,california,los angeles,california,,
